virus,model,loghi,postvax,proxy,loghr,se,loghr_low,loghr_high,prot,prot_low,prot_high,se_wrong,loghr_low_wrong,loghr_high_wrong,prot_low_wrong,prot_high_wrong
A H1N1pdm09,sophia,0.10439999999999999,-1.5050379124341002,0,0.47330033931403437,0.2717382155787717,-0.059296776443539034,1.0058974550716078,-0.6052834403095442,-1.7343601373663144,0.057572962494215396,0.20034845932182369,0.08062457468517198,0.8659761039428968,-1.3773254705781102,-0.08396387268984062
A H1N1pdm09,sophia,0.11309999999999999,-1.4963379124341003,0,0.4705643863403498,0.27016740965022745,-0.05895400637057491,1.0000827790512745,-0.6008974629572259,-1.718506854563497,0.057249871339980274,0.20034845932182369,0.07788862171148742,0.8632401509692122,-1.3708301094404942,-0.08100225178416909
A H1N1pdm09,sophia,0.12179999999999999,-1.4876379124341004,0,0.46782843336666524,0.26859660372168326,-0.05861123629761089,0.9942681030309414,-0.5965234690321652,-1.7027454859793636,0.05692666942078439,0.20034845932182369,0.07515266873780285,0.8605041979955277,-1.3643524950173394,-0.07804872265960783
A H1N1pdm09,sophia,0.1305,-1.4789379124341002,0,0.4650924803929806,0.267025797793139,-0.05826846622464671,0.988453427010608,-0.5921614257930787,-1.6870754987133338,0.05660335669865402,0.20034845932182369,0.07241671576411823,0.857768245021843,-1.35789257882083,-0.07510326320768113
A H1N1pdm09,sophia,0.1392,-1.4702379124341003,0,0.46235652741929606,0.26545499186459476,-0.05792569615168258,0.9826387509902748,-0.5878113005881387,-1.671496362954482,0.05627993313560298,0.20034845932182369,0.06968076279043367,0.8550322920481584,-1.35145031249563,-0.07216585138032006
A H1N1pdm09,sophia,0.14789999999999998,-1.4615379124341004,0,0.4596205744456115,0.26388418593605056,-0.057582926078718566,0.9768240749699415,-0.5834730608547296,-1.6560075519636195,0.05595639869363189,0.20034845932182369,0.0669448098167491,0.8522963390744739,-1.3450256478185194,-0.06923646518969417
A H1N1pdm09,sophia,0.1566,-1.4528379124341002,0,0.4568846214719269,0.2623133800075063,-0.05724015600575438,0.9710093989496081,-0.5791466741192033,-1.6406085420554897,0.055632753334727836,0.20034845932182369,0.06420885684306449,0.8495603861007892,-1.3386185366980339,-0.0663150827080492
A H1N1pdm09,sophia,0.1653,-1.4441379124341003,0,0.45414866849824237,0.2607425740789621,-0.05689738593279031,0.965194722929275,-0.5748321079966374,-1.625298812581061,0.05530899702086578,0.20034845932182369,0.06147290386937998,0.8468244331271048,-1.3322289311741078,-0.06340168206754226
A H1N1pdm09,sophia,0.174,-1.4354379124341003,0,0.4514127155245578,0.25917176815041787,-0.056554615859826185,0.9593800469089417,-0.5705293301905916,-1.6100778459099203,0.05498512971400682,0.20034845932182369,0.05873695089569542,0.8440884801534202,-1.3258567834177102,-0.06049624146007804
A H1N1pdm09,sophia,0.18269999999999997,-1.4267379124341004,0,0.44867676255087324,0.2576009622218737,-0.05621184578686206,0.9535653708886085,-0.5662383084928662,-1.5949451274127755,0.054661151376099504,0.20034845932182369,0.05600099792201085,0.8413525271797356,-1.3195020457304896,-0.05759873913714508
