virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
bvic,General,prot,6.959999999999999,0.9700759063091947,0.9899335448625738,0.998959477980554
bvic,General,prot,7.047,0.9708542132524083,0.9904172544808107,0.9990448066865338
bvic,General,prot,7.1339999999999995,0.9715808880303038,0.9908703695587581,0.9991229576613141
bvic,General,prot,7.220999999999999,0.9723785445401262,0.9913051368792154,0.9991918297773468
bvic,General,prot,7.308,0.9731613930347982,0.9916990335958209,0.999257796365624
bvic,General,prot,7.395,0.9738882427462812,0.9921054624858259,0.9993194796162804
bvic,General,prot,7.481999999999999,0.974604536561694,0.9924656331320445,0.999375848039551
bvic,General,prot,7.568999999999999,0.9753079964688908,0.9928147340572524,0.999426937300651
bvic,General,prot,7.656,0.975969845932626,0.9931513024955556,0.9994751996980036
bvic,General,prot,7.742999999999999,0.9766406050244136,0.9934754432239437,0.9995192258761071
bvic,General,prot,7.829999999999999,0.9772732571920326,0.9937849460210101,0.9995583948137384
bvic,General,prot,7.917,0.9778797466213089,0.9940770288335484,0.9995952850725814
bvic,General,prot,8.004,0.9784533077719433,0.994356737086055,0.9996286998977264
bvic,General,prot,8.091,0.9790069653239292,0.9946301232209895,0.9996590578918232
bvic,General,prot,8.177999999999999,0.9795861301081987,0.994880565813405,0.9996866195863585
bvic,General,prot,8.264999999999999,0.9801481816217588,0.9951195763952938,0.9997117260410637
bvic,General,prot,8.352,0.9807064550195119,0.9953503213532117,0.9997351147166917
bvic,General,prot,8.439,0.9812262997439207,0.9955712302353295,0.999756364953168
bvic,General,prot,8.526,0.9817590085679968,0.9957777629685688,0.9997756486823868
bvic,General,prot,8.613,0.9822788041876391,0.995973569432084,0.9997941326945445
bvic,General,prot,8.7,0.98277710562367,0.9961610867757501,0.9998111213070293
bvic,General,prot_rel,0,-1.9317654642451398,-0.9656373720637288,-0.5177413985424111
bvic,General,prot_rel,0.087,-1.8086530457837853,-0.9033132119077691,-0.48529568210182955
bvic,General,prot_rel,0.174,-1.6815109115022553,-0.8412962064658205,-0.45345967664949327
bvic,General,prot_rel,0.261,-1.5571442651273717,-0.7806707958149626,-0.4220383605145136
bvic,General,prot_rel,0.348,-1.4394098738647352,-0.7210313443344576,-0.3910333363978151
bvic,General,prot_rel,0.43499999999999994,-1.3212715334764176,-0.6628526025518031,-0.3604896020977219
bvic,General,prot_rel,0.522,-1.2029366303887254,-0.6055973119045746,-0.33049722575449536
bvic,General,prot_rel,0.609,-1.0858006582165376,-0.5497771537794214,-0.30114875450979806
bvic,General,prot_rel,0.696,-0.971362370164961,-0.495181302340707,-0.2723635370161121
bvic,General,prot_rel,0.7829999999999999,-0.8589929150554481,-0.4417127609858409,-0.2440844528873602
bvic,General,prot_rel,0.8699999999999999,-0.7512275418233278,-0.3896038236369608,-0.2163516422107934
bvic,General,prot_rel,0.957,-0.646991888515039,-0.3389859747495281,-0.18914978417398942
bvic,General,prot_rel,1.044,-0.5470103231624267,-0.28951803189396874,-0.16232002635922235
bvic,General,prot_rel,1.131,-0.45161172276759276,-0.24132696260048703,-0.13599421020687116
bvic,General,prot_rel,1.218,-0.3599470444939368,-0.19452858044674382,-0.11016743720313299
bvic,General,prot_rel,1.305,-0.2726459336051956,-0.14899443898492004,-0.08483464201573265
bvic,General,prot_rel,1.392,-0.18968941299154496,-0.10477113790442605,-0.05999060541433732
bvic,General,prot_rel,1.4789999999999999,-0.11076242063438854,-0.0618815176832741,-0.035634327939779414
bvic,General,prot_rel,1.5659999999999998,-0.03588918927012088,-0.020279184654222737,-0.011753735090215314
bvic,General,prot_rel,1.6529999999999998,0.011676837958316,0.020012049831096834,0.035044881786780294
bvic,General,prot_rel,1.7399999999999998,0.03466243823628636,0.05901417135341536,0.10214017148344853
bvic,General,prot_rel,1.827,0.057203638540429494,0.09676580058678663,0.16535192225047313
