virus,term,estimate,std.error,statistic,p.value,ind
h1pdm,(Intercept),-1.2986191246904495,0.49631277819076147,-2.616533729847503,0.00888275876732758,99
h1pdm,logHImid,-0.5552420030989623,0.19681620038693998,-2.8211194099233623,0.004785638562634998,99
h1pdm,(Intercept),-0.35358551880429256,0.8433881170959415,-0.41924413166005,0.6750377222821689,101
h1pdm,logHImid,-1.1615363174464934,0.46707013054052876,-2.4868563444686047,0.012887742828295069,101
h1pdm,(Intercept),-0.40958020872955186,0.729036905198147,-0.5618099794525915,0.5742454920945117,102
h1pdm,logHImid,-1.0755269055096228,0.38639429264644287,-2.7834958382621546,0.005377655237957747,102
h1pdm,(Intercept),-1.3968619007323677,0.5798266954216127,-2.4091024296779913,0.0159918090173631,103
h1pdm,logHImid,-0.6457816409980079,0.2444974405607956,-2.641261354379826,0.008259797470410758,103
h1pdm,(Intercept),-1.1085431080982475,0.41401026803732305,-2.677573948475868,0.007415748074928011,104
h1pdm,logHImid,-0.4978558392062926,0.15052285434984256,-3.3075099549280726,9.412936624143897e-4,104
h1pdm,(Intercept),-1.5195815453700228,0.555158427765149,-2.737203416846727,0.006196396475149723,105
h1pdm,logHImid,-0.5716784057946418,0.21266091473489282,-2.688215681322104,0.007183498113928359,105
h1pdm,(Intercept),-1.6696660196716995,0.5814708389757782,-2.8714527156902725,0.004085899039767265,106
h1pdm,logHImid,-0.5390894089460894,0.23020452051738274,-2.341784634526248,0.019191785771601584,106
h1pdm,(Intercept),-0.8299615284805733,0.8806889387615038,-0.9424003095210126,0.3459877288300797,107
h1pdm,logHImid,-1.0337102443752297,0.45519411972301854,-2.2709217882784447,0.023151713018143567,107
h1pdm,(Intercept),-0.32850557478396336,0.6380839520620433,-0.514831275292787,0.6066709284011014,108
h1pdm,logHImid,-1.0201501223519294,0.32833716957848125,-3.107019907802691,0.0018898367157335367,108
h1pdm,(Intercept),-2.436849359498971,0.7210474585584439,-3.3795963505243454,7.259235781265836e-4,109
h1pdm,logHImid,-0.40048498302230245,0.23782023951546075,-1.6839819177638446,0.09218516336184789,109
h1pdm,(Intercept),-2.3606585286894632,0.6320106160226465,-3.7351564496582363,1.875985237341475e-4,110
h1pdm,logHImid,-0.37534810958009535,0.22378556628837168,-1.6772668398837622,0.09349031385138472,110
h1pdm,(Intercept),-1.5372365511596626,0.5387309898441125,-2.853439991644955,0.004324869514938747,111
h1pdm,logHImid,-0.5444709276376374,0.2128013919729322,-2.558587246961677,0.010509844389267407,111
h1pdm,(Intercept),-1.673455674973915,0.5435941808343967,-3.0785018198782463,0.002080442590275515,112
h1pdm,logHImid,-0.5232155950820417,0.21835881923370137,-2.3961276073858206,0.01656932069988723,112
h1pdm,(Intercept),-1.0173568235361017,0.5284116545124572,-1.9253110994964207,0.05419044986927122,113
h1pdm,logHImid,-0.6830618173008912,0.24491193341553513,-2.789009942369609,0.00528694419492196,113
h1pdm,(Intercept),-0.9482341349476411,0.544106997074591,-1.7427346827845493,0.08137997039111868,114
h1pdm,logHImid,-0.717836017140791,0.22634542848915362,-3.1714182253748917,0.0015169657109122014,114
h1pdm,(Intercept),-1.241834949432833,0.7837464856757308,-1.5844855091913392,0.11308327667423264,115
h1pdm,logHImid,-0.8601968954115028,0.3816673387820708,-2.253787023423214,0.024209569558661787,115
