virus,term,estimate,std.error,statistic,p.value,ind
bvic,b1,-0.3551659153073848,0.11805853163245489,-3.008388384950469,0.0026263725603937974,16
bvic,b0,-1.4755940714021547,0.37751789666177676,-3.9086731634451723,9.280441590379758e-5,17
bvic,b1,-0.6145091630792523,0.1612784925118128,-3.8102362783074915,1.3883404088891813e-4,17
bvic,b0,-1.5543697011025515,0.3511823865795007,-4.42610381529107,9.595035980821667e-6,18
bvic,b1,-0.5404759218053913,0.14327771591891386,-3.7722259762381087,1.6179761686879355e-4,18
bvic,b0,-2.4890660200068497,0.36123361076781835,-6.890460759496404,5.56119659026315e-12,19
bvic,b1,-0.249820738351561,0.1131205915093112,-2.208446181356802,0.027213185547670195,19
bvic,b0,-1.9332676865360952,0.34309826727951603,-5.63473462534597,1.753281105242709e-8,20
bvic,b1,-0.4042994525260271,0.1284026792682695,-3.1486839280147048,0.00164007478037061,20
bvic,b0,-1.6710701450329997,0.4185319302301748,-3.992694521810993,6.532670389682791e-5,21
bvic,b1,-0.6228029129415921,0.18301999527349883,-3.402922789998419,6.666911775831718e-4,21
bvic,b0,-1.8737773181780069,0.29455838254208727,-6.361310453998968,2.0003965733435847e-10,22
bvic,b1,-0.30306104503364795,0.09457498664059145,-3.2044524223445627,0.0013531965337684785,22
bvic,b0,-1.4087791977291784,0.38459593108935236,-3.6630111861528762,2.492676488621977e-4,23
bvic,b1,-0.6440090692060705,0.16973447256878277,-3.7942149255808593,1.4811133997829539e-4,23
bvic,b0,-1.1011214618490723,0.536297574254179,-2.053191203373212,0.04005403722981961,24
bvic,b1,-0.9071802026511594,0.2820551546058404,-3.2163220130435253,0.0012984504826685484,24
bvic,b0,-1.6545540383822448,0.3094653600173703,-5.346491892628547,8.967529585655946e-8,25
bvic,b1,-0.4076949244670567,0.10882691581266139,-3.746269214951176,1.7948397161238406e-4,25
bvic,b0,-1.5809151411597033,0.45552370927309477,-3.470544142877788,5.194049611827913e-4,26
bvic,b1,-0.6940874515898177,0.20893958956329536,-3.3219527856857085,8.938981831049178e-4,26
bvic,b0,-1.730488256745037,0.34919514566188986,-4.955648090310488,7.208959041458463e-7,27
bvic,b1,-0.4738797683839162,0.13298882785477636,-3.563305098841779,3.662146230328854e-4,27
bvic,b0,-1.7752020383938558,0.34709931788552917,-5.114392183793644,3.147528045741948e-7,28
bvic,b1,-0.46531525493984766,0.1313628908500201,-3.5422123548659443,3.967859079449733e-4,28
bvic,b0,-1.6840079751576993,0.33681279652534807,-4.999833713357631,5.737977925538301e-7,29
bvic,b1,-0.4681358444535685,0.12690207537955656,-3.6889534158791495,2.2517844027648091e-4,29
bvic,b0,-1.6248485439477742,0.36861650248755434,-4.407964735660836,1.0434652920178373e-5,30
bvic,b1,-0.5535354102004344,0.15662894337795114,-3.534055700450804,4.092348263541727e-4,30
bvic,b0,-1.0582894051720568,0.44104329366853645,-2.3995136540210225,0.01641686754567788,31
bvic,b1,-0.8063172030763461,0.22434230336373792,-3.59413802473545,3.2546727771273006e-4,31
bvic,b0,-1.9654757743070648,0.37260345508759446,-5.274980002117816,1.3277056498707118e-7,32
bvic,b1,-0.4645899779436428,0.1466182631857515,-3.168704688276461,0.0015311988768244359,32
bvic,b0,-2.4769881409457173,0.3807095945344577,-6.506240390328611,7.70548865748115e-11,33
bvic,b1,-0.29864533903535434,0.1240943353628694,-2.406599287244443,0.016101826492335474,33
bvic,b0,-1.3443480051786867,0.3193992853547014,-4.208988769920861,2.5651613616738735e-5,34
bvic,b1,-0.5385308790853711,0.12847582009918804,-4.191690534994099,2.768835116454983e-5,34
bvic,b0,-2.0207030766377985,0.3551507167163897,-5.689705754561261,1.2725846694167265e-8,35
bvic,b1,-0.40745907014074784,0.13148362992251597,-3.098933839755304,0.0019421838545104712,35
bvic,b0,-2.2091759467786054,0.3552672940962041,-6.2183487855214015,5.024137968094517e-10,36
bvic,b1,-0.34579142770165927,0.12305246788469479,-2.8101137152785918,0.0049523998560616345,36
bvic,b0,-1.6961951252292031,0.3672127119887319,-4.619107862696354,3.8539348784345865e-6,37
