term,true_val,nsam,beta_0,beta_logTitre,risk_prop_expected,long_prop_expected,max_follow,kappa,model_name,data_name,par_varied,est_mean,est_sd,se_mean,coverage,nsim
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,100,std,std_100,long_prop_expected,-1.500203020937636,0.017408963305455785,0.01750278416088288,0.9532,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,100,std,std_100,risk_prop_expected,-1.5002690921820199,0.017519224499686584,0.017498948208242777,0.9506,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,1000,std,std_1000,long_prop_expected,-1.5002736191483697,0.017377879191593608,0.017502552032946178,0.9521,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0,100,1000,std,std_1000,risk_prop_expected,-1.5003291123039801,0.017387684046755,0.017501141760622424,0.95,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.1,100,0.5,std,std_05,long_prop_expected,-0.8543992585767485,0.04968352932954576,0.00885995233441,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.1,100,1,std,std_1,long_prop_expected,-0.8546310222092002,0.04949574812160082,0.008860379864023526,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.1,100,10,std,std_10,long_prop_expected,-0.8539212503993456,0.048807011821221546,0.0088507512866066,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.1,100,100,std,std_100,long_prop_expected,-0.8538791508333597,0.048878324495615987,0.008850674311954588,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.1,100,1000,std,std_1000,long_prop_expected,-0.8545245633150576,0.048700931464572446,0.008860068016161978,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.2,100,0.5,std,std_05,long_prop_expected,-0.7503948606789038,0.03279571820999393,0.00838381924144239,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.2,100,1,std,std_1,long_prop_expected,-0.7496991920125632,0.03291922919420852,0.008377685817303736,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.2,100,10,std,std_10,long_prop_expected,-0.7504162529009826,0.03299596766937664,0.008386201106731765,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.2,100,100,std,std_100,long_prop_expected,-0.750203191133592,0.03313768205541899,0.008384616961177229,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.2,100,1000,std,std_1000,long_prop_expected,-0.7494363556676479,0.032437689241890715,0.008373838837102443,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.30000000000000004,100,0.5,std,std_05,long_prop_expected,-0.697366683357669,0.026232694128766602,0.008202104154360911,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.30000000000000004,100,1,std,std_1,long_prop_expected,-0.6977540401082639,0.02604088415065392,0.008208794037369542,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.30000000000000004,100,10,std,std_10,long_prop_expected,-0.6976302326832455,0.02602888826288564,0.008208837713746087,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.30000000000000004,100,100,std,std_100,long_prop_expected,-0.6977404552694946,0.026460024688968853,0.008207588992103151,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.30000000000000004,100,1000,std,std_1000,long_prop_expected,-0.6977445249393254,0.025715601438499814,0.008211572432869973,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.4,100,0.5,std,std_05,long_prop_expected,-0.6674112001485508,0.02196078718598296,0.008138134030461177,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.4,100,1,std,std_1,long_prop_expected,-0.667220814886752,0.02245343317678544,0.008135607383545606,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.4,100,10,std,std_10,long_prop_expected,-0.6674856679919221,0.022016008554609456,0.00813971192133875,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.4,100,100,std,std_100,long_prop_expected,-0.6677716880063145,0.022090382179859255,0.008143611983004768,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.4,100,1000,std,std_1000,long_prop_expected,-0.6674818186970833,0.02222003392300906,0.008138111196230362,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.5,100,0.5,std,std_05,long_prop_expected,-0.6499563199032992,0.02004595729162297,0.008113725538779142,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.5,100,1,std,std_1,long_prop_expected,-0.6498483354042014,0.020190273893879666,0.008110783608571709,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.5,100,10,std,std_10,long_prop_expected,-0.6498074477505861,0.01995803201321308,0.008111613553858556,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.5,100,100,std,std_100,long_prop_expected,-0.6495582174356717,0.019707241906839562,0.008107498307597272,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.5,100,1000,std,std_1000,long_prop_expected,-0.6501241048988482,0.019980365393928737,0.00811682637121566,0,10000
beta_logTitre,-1.5,10000,-3,-1.5,1,0.6000000000000001,100,0.5,std,std_05,long_prop_expected,-0.6416220821051667,0.018521253070442688,0.00812455456498803,0,10000
