virus,population,prob_type,loghi,prob_lb,prob_med,prob_ub
bvic,General,inf,2.3489999999999998,0.03832595532287228,0.05884874523506524,0.08458451613875016
bvic,General,inf,2.436,0.03699158148450936,0.057499110980256285,0.08343837101454452
bvic,General,inf,2.5229999999999997,0.03549722966657546,0.05606890192985806,0.0819613739729453
bvic,General,inf,2.61,0.03392453433321463,0.05454448616436549,0.08043515254092755
bvic,General,inf,2.6969999999999996,0.03242576128469213,0.052993549279623395,0.07915823600090491
bvic,General,inf,2.784,0.03097242315385175,0.05147880931789668,0.07758911984898018
bvic,General,inf,2.871,0.029558112463530375,0.0500102985502366,0.07588242345834498
bvic,General,inf,2.9579999999999997,0.028388642187827356,0.04844593704158241,0.07410292124001842
bvic,General,inf,3.045,0.0270166958139398,0.04685400027406541,0.07220978710105568
bvic,General,inf,3.1319999999999997,0.02553265420419457,0.04531326445189983,0.07023253833711667
bvic,General,inf,3.219,0.02411359055189057,0.04372900281468121,0.06797365000189481
bvic,General,inf,3.3059999999999996,0.022688557429348135,0.04216132428059753,0.0654650526943405
bvic,General,inf,3.393,0.021294803718338088,0.04056664441505057,0.063241378839715
bvic,General,inf,3.4799999999999995,0.020031804103942383,0.03891390356070054,0.06075095504034082
bvic,General,inf,3.5669999999999997,0.01884692588545757,0.03721224416386626,0.05836596914138005
bvic,General,inf,3.654,0.017845643508685633,0.03557311188991093,0.05580875911737604
bvic,General,inf,3.7409999999999997,0.016774738101013296,0.03393045984746884,0.05334637561323405
bvic,General,inf,3.828,0.01578155536751577,0.03225606910240806,0.05081464735718148
bvic,General,inf,3.9149999999999996,0.014698500601418857,0.030674597169036345,0.04835424256668417
bvic,General,inf,4.002,0.013620860055118308,0.029048136298527906,0.04603143707092246
bvic,General,inf,4.0889999999999995,0.012614099690778193,0.027436341598009555,0.044218124181578757
bvic,General,inf,4.176,0.01182252247451837,0.025942637885054708,0.04214186806499296
bvic,General,inf,4.263,0.011114683939368465,0.02440942707233747,0.03996844479526071
bvic,General,inf,4.35,0.010427464177561668,0.0229285829234212,0.0380415183871238
bvic,General,inf,4.436999999999999,0.00977789227611316,0.02155374404721401,0.036365796951921416
bvic,General,inf,4.524,0.009169260439865632,0.02013928639031906,0.03476937932582334
bvic,General,inf,4.611,0.00862797320505263,0.018807126430328544,0.03327633413723244
bvic,General,inf,4.6979999999999995,0.008055414553843872,0.017597453222988085,0.03169775956695494
bvic,General,inf,4.784999999999999,0.007533107690171255,0.016445015124280704,0.030562629034189322
bvic,General,inf,4.872,0.007042821386587671,0.015384878548938934,0.029234074123910613
bvic,General,inf,4.959,0.0065801381305089475,0.01443266690410877,0.02794711733284557
bvic,General,inf,5.045999999999999,0.006125577299182251,0.013527362876777877,0.02685021984433971
bvic,General,inf,5.133,0.005682731461641545,0.012701176662385684,0.025836044805269562
bvic,General,inf,5.22,0.005199310678432671,0.011954852506268225,0.024774334564729845
bvic,General,inf,5.3069999999999995,0.004662463151815447,0.011200957386313808,0.02373069863592192
bvic,General,inf,5.393999999999999,0.004092546939148705,0.010519408980490252,0.022802034340447686
bvic,General,inf,5.481,0.0035430879157937844,0.009871740737278626,0.021932066726382954
bvic,General,inf,5.568,0.003053519439031462,0.009239325510672924,0.021061064374234283
bvic,General,inf,5.654999999999999,0.0026415147694189203,0.008638107769518906,0.020347222844102033
bvic,General,inf,5.742,0.0022485908453287484,0.0080518664803875,0.01951599319432419
bvic,General,inf,5.829,0.0019205151079155608,0.007518077511992495,0.018710715245748938
bvic,General,inf,5.9159999999999995,0.0016504751188989636,0.007007542791832109,0.01797323076017981
bvic,General,inf,6.002999999999999,0.0014080911269951828,0.0065025307677343295,0.01713439921880467
bvic,General,inf,6.09,0.0011996997956087694,0.006030127084118814,0.016482359609214497
bvic,General,inf,6.177,0.0010189164548320168,0.0055693263667749805,0.01580175075039838
bvic,General,inf,6.263999999999999,8.694144053416883e-4,0.005153727744013178,0.015255143218867855
bvic,General,inf,6.351,7.378618280166482e-4,0.004757444097469738,0.014708391242743517
bvic,General,inf,6.438,6.210406580480172e-4,0.004396462687603941,0.014176754599822193
