prot_point,prot_l,prot_u,loghimid,virus
0.9510120728284543,0.7265972129919105,0.9929976297744333,6.438,bvic
0.9539714343131616,0.7459105519108554,0.9932122423481077,6.5249999999999995,bvic
0.9567601491231361,0.7633922844778935,0.9934532086485691,6.611999999999999,bvic
0.9593870981426971,0.7791194969170844,0.993718686896248,6.699,bvic
0.9618608141369981,0.7931866801487281,0.9940061708561467,6.786,bvic
0.9641894811476682,0.8056997283954841,0.9943125293298177,6.872999999999999,bvic
0.9663809361157805,0.8167708230199953,0.994634089197552,6.959999999999999,bvic
0.9684426724151136,0.826514236914531,0.9949667596308487,7.047,bvic
0.9703818450064713,0.835043022631875,0.9953061895887646,7.1339999999999995,bvic
0.9722052769508401,0.8424665041654,0.9956479458720163,7.220999999999999,bvic
0.973919467045105,0.8488884710593798,0.9959876959208844,7.308,bvic
